title,lexical_diversity,dialogue_ratio,avg_sentence_len,sentiment,target_tickets,target_clicks
1977，开局女知青以身相许,0.432,0.394,22.5,0.58,257,215224
Black便利店,0.45,0.379,44.6,0.447,22,300025
BUG神瞳,0.411,0.213,25.8,0.602,85,99600
NBA教父：我有一万种被动光环,0.465,0.272,33.6,0.64,15,43260
一世剑仙,0.628,0.037,40.8,0.83,102,769455
一世如龙,0.543,0.115,33.9,0.712,3990,16707372
一世孤尊,0.459,0.149,23.2,0.701,272,173899
一世独尊,0.541,0.128,27.5,0.694,13387,28780633
一剑倾国,0.675,0.207,25.6,0.588,133,696979
一剑吞鸿,0.548,0.278,45.4,0.747,680,1027923
一剑掌乾坤,0.523,0.319,33.9,0.571,2279,451077
一剑擎天,0.598,0.0,60.9,0.923,212,255899
一剑朝天,0.432,0.264,35.4,0.604,121,1651887
一剑独尊,0.36,0.358,27.1,0.707,21392,423151319
一剑画天,0.676,0.022,69.0,0.834,87,17999
一剑绝世,0.458,0.307,22.6,0.712,5001,5205650
一品,0.502,0.142,25.9,0.618,3900,2594409
一天突破十二境，你跟我退婚？,0.501,0.236,33.6,0.71,42,12577
一幡在手天下我有,0.493,0.15,52.7,0.669,433,83029
一念登天,0.448,0.264,24.9,0.508,804,46423
一笔封仙,0.516,0.279,29.7,0.561,25,305881
一统江湖：他只是一个小虾,0.409,0.354,19.7,0.616,71,90528
一语破天机,0.429,0.311,31.1,0.727,9296,1148056
一身反骨，逆破苍天,0.443,0.35,26.8,0.644,46,24297
七世神盘,0.464,0.171,42.8,0.839,241,174697
七个姐姐听到我心声，心态彻底崩了！,0.436,0.262,20.8,0.703,12,435925
七贱下虎山,0.502,0.091,36.8,0.696,564,28814
万世为王,0.462,0.126,35.2,0.766,95,21263491
万世帝君,0.492,0.247,41.3,0.733,1238,67424
万仙来朝,0.498,0.237,22.8,0.692,14523,8697091
万倍返还，我收徒百无禁忌,0.419,0.225,19.4,0.633,266,828703
万剑朝宗,0.503,0.214,23.9,0.669,2318,389750
万劫之主,0.488,0.218,28.0,0.66,2471,972516
万劫无朽,0.431,0.389,40.1,0.715,2611,230029
万古天骄,0.557,0.184,37.8,0.44,5613,3469820
万古最强龙帝,0.45,0.32,90.2,0.828,33,37721
万古第一武神,0.384,0.344,28.6,0.632,453,474781
万古第一皇,0.492,0.123,45.9,0.596,255,178556
万古英豪,0.53,0.209,31.9,0.685,33,2339
万域之王,0.442,0.321,32.1,0.755,112,261972229
万域剑帝,0.486,0.138,22.6,0.722,42,50526
万妖战歌,0.421,0.303,58.6,0.443,135,236444
万族之劫：我将埋葬诸天,0.441,0.31,18.2,0.603,63,5970
万灵无疆,0.529,0.192,27.5,0.717,32,16448
万界剑尊,0.455,0.225,22.9,0.671,449,476851
万界导游使,0.622,0.111,26.3,0.66,34,23182
万界武祖,0.493,0.295,28.1,0.791,42,9107
万界称尊,0.411,0.219,22.2,0.651,33,12535
万界第一枪,0.429,0.152,31.3,0.7,225,10573
万相之王,0.485,0.169,36.9,0.609,5256,109506438
万苍天穹,0.509,0.197,36.2,0.665,16,26894
万象天劫,0.444,0.209,32.2,0.637,10159,318996
万道之王,0.479,0.165,29.1,0.815,28,3333
万道仙王,0.48,0.166,30.7,0.75,47,268231
万骨妖祖,0.529,0.111,32.0,0.734,74,142478
万魔之上,0.545,0.185,33.3,0.715,50,4974
三国之最风流,0.516,0.131,43.0,0.685,659,10342140
三国庶天子,0.539,0.346,31.0,0.693,303,22432
三国归晋,0.522,0.171,44.0,0.661,162,271190
三国我为王,0.532,0.146,36.3,0.717,16,8600
三国重生之我有反伤刺甲,0.543,0.078,28.1,0.486,50,42026
三界两境录,0.728,0.039,34.4,0.736,320,51600
三界武皇,0.443,0.297,21.8,0.655,465,55766
上古圣墓,0.442,0.003,82.4,0.629,45,8316
下八门,0.443,0.293,32.6,0.462,115,2181847
不会修炼的我成帝了,0.427,0.314,25.6,0.616,29,275799
不是说好解毒么，怎么成仙帝了？,0.54,0.182,23.0,0.627,376,1443638
不朽神途,0.397,0.169,32.1,0.797,165,16686
不死邪神,0.396,0.243,29.6,0.715,60,1490613
不灭神魂,0.457,0.278,20.5,0.57,71,48971
不让江山,0.446,0.304,39.1,0.526,26425,57902694
且听剑吟,0.654,0.078,48.0,0.789,2752,1678491
世界探宝异闻录,0.45,0.234,35.8,0.431,534,32827
东北：老仙驾到,0.516,0.085,33.3,0.564,44,5888
东北修道三十年，世人敬我如敬神,0.476,0.157,30.9,0.44,232,259368
东北地仙,0.534,0.184,34.6,0.475,44,161813
东域游侠传,0.562,0.318,32.4,0.766,2682,575092
丧尸末劫：生存者的征途,0.459,0.066,31.0,0.759,130,23941
临天之主,0.499,0.222,31.4,0.677,26,20599
为了道侣去修仙,0.494,0.159,54.1,0.58,65,15044
义盖云天笑三国,0.392,0.235,37.5,0.595,17,16628
乘龙赘婿,0.476,0.209,32.2,0.506,236,7490448
九世剑仙,0.419,0.164,28.7,0.628,126,208769
九世经轮,0.527,0.136,55.1,0.733,205,78822
九元咒,0.484,0.173,26.4,0.538,47,21106
九劫剑仙,0.46,0.182,41.0,0.789,1662,65537
九劫生晖,0.523,0.168,32.6,0.72,163,8134
九域剑祖,0.463,0.137,37.8,0.599,17,33534
九境之主,0.571,0.358,28.2,0.587,7395,343913
九天元帝,0.497,0.295,46.3,0.612,74,421187
九天剑主,0.651,0.085,45.8,0.316,2568,13974346
九天大漠,0.529,0.023,46.7,0.796,93,63307
九天斩神诀,0.454,0.219,22.5,0.691,196,832035
九幽剑主,0.474,0.297,22.5,0.536,1180,138934
九幽剑帝,0.449,0.282,19.8,0.653,21,10915
九星镇天诀,0.487,0.271,29.1,0.745,10526,3333741
九段刀,0.493,0.306,47.5,0.702,532,782265
九转剑帝,0.345,0.646,25.0,0.601,72,20626
九转玄邪录,0.504,0.17,24.9,0.67,60,9168
九阳天帝,0.434,0.36,27.0,0.549,128,546
九阳武神,0.427,0.292,19.5,0.657,144,1038235
九霄剑帝,0.464,0.366,21.8,0.629,41,24487
九龙乾坤诀,0.408,0.281,21.7,0.558,16,321149
九龙剑皇,0.446,0.365,21.3,0.758,83,585645
九龙夺嫡：废材成皇,0.457,0.313,26.2,0.653,40,371371
书生笑,0.587,0.152,46.9,0.832,101,187902
乱世末路,0.665,0.044,42.8,0.74,73,72481
乱世银枪,0.473,0.146,26.6,0.722,221,47773
乱话西游,0.465,0.215,27.7,0.666,393,62724
乾坤塔,0.45,0.176,21.7,0.585,27,472311
云烟神帝,0.449,0.271,30.6,0.662,292,117774
云雁关山度,0.51,0.147,36.7,0.713,561,96694
五仙门,0.474,0.322,34.9,0.607,585,7190866
井元书屋,0.426,0.139,20.5,0.499,61,29389
亘古天阙,0.567,0.035,35.1,0.756,57,70850
亡灵君主：天灾纪元,0.466,0.129,30.6,0.666,27,79307
人在朝天宗，大师姐要我助她修行,0.432,0.245,29.9,0.678,1511,37949
人在末世，我能联通现实,0.481,0.083,40.2,0.576,9055,152373
人在玄幻，我是真的想退婚啊,0.56,0.1,26.1,0.677,23,3722
人在神雕，开局获得九阳神功,0.514,0.19,34.0,0.71,16,488508
人道斩天,0.627,0.066,39.4,0.687,7740,349751
人道至圣,0.45,0.261,30.6,0.797,157,30948
人间仙道,0.425,0.322,28.4,0.572,33,14480
人间十万剑长白,0.441,0.418,17.6,0.536,22,16088
人间守卫,0.621,0.012,42.5,0.755,123,51063
人间最得意,0.41,0.246,46.1,0.743,201,2862192
人间最高处,0.496,0.27,30.9,0.723,106,533325
人间有剑,0.432,0.207,29.4,0.516,14636,4191483
人间畏途,0.532,0.175,40.6,0.798,64,86307
人间第一刀,0.563,0.076,37.6,0.804,22,20552
从仙帝开始修真,0.514,0.114,29.2,0.706,220,8198
从军赋,0.55,0.318,28.7,0.617,3186,6082168
从县委书记到权力巅峰,0.424,0.325,28.6,0.496,525,3801120
从小媳妇要传宗接代开始,0.52,0.202,22.3,0.584,37,112947
从省府大秘到权力巅峰,0.472,0.21,28.6,0.553,194,985577
从纪委科员问鼎权力巅峰,0.481,0.265,35.1,0.614,168,298939
从鉴灵院开始逆袭成神,0.505,0.251,29.3,0.548,714,6782
从骑士到国王,0.408,0.301,65.0,0.761,25,66506
仗星行,0.473,0.075,23.1,0.703,122,10036
仙人之上,0.484,0.23,33.5,0.677,558,20093
仙佛浩劫,0.428,0.217,37.1,0.629,10210,12085840
仙元不朽,0.455,0.242,26.9,0.684,90,28969
仙凡神宇,0.458,0.18,58.4,0.784,36,126322
仙囚,0.572,0.125,27.3,0.748,219,93681
仙女叫我来修仙,0.53,0.166,17.1,0.717,85,68682
仙子，求你别再从书里出来了,0.487,0.322,26.1,0.573,2835,87728
仙帝,0.759,0.0,33.1,0.512,223,253448
仙帝在上,0.494,0.104,45.4,0.576,56,77413
仙朝,0.477,0.063,34.4,0.695,1076,6544365
仙本是贼,0.479,0.259,27.5,0.605,1817,94247
仙棺，神墟，剑无敌！,0.419,0.205,27.2,0.72,198,1292593
仙游四海,0.529,0.323,31.2,0.675,169,65880
仙王奶爸,0.409,0.312,19.2,0.608,9766,1843185
仙界刁民,0.674,0.0,21.6,0.515,39,99109
仙穹之巅,0.916,0.0,57.2,0.457,200,47026
仙道九绝,0.43,0.292,25.3,0.701,313,681282
仙道书,0.59,0.018,39.9,0.802,3750,226195
仙道觅长生,0.433,0.279,27.5,0.565,167,67244
仙道长明,0.487,0.307,27.2,0.59,83,33722
仙都,0.555,0.113,42.1,0.516,3857,7245915
仙魔春秋,0.474,0.167,28.6,0.787,76,87107
以雷霆杀穿末日,0.526,0.205,18.8,0.624,24,5969
伏牛图,0.596,0.22,50.7,0.643,45,13579
众仙俯首,0.447,0.134,25.7,0.751,5556,4870855
何为仙魔,0.489,0.137,23.2,0.728,48,43428
何处望神州,0.654,0.0,33.1,0.77,260,55114
佛天大智贤僧录,0.424,0.052,29.3,0.686,396,9192
你有天眼不去赌石，又在乱看,0.454,0.321,20.9,0.525,20,220638
侠行天地,0.39,0.532,20.8,0.568,41,12478
侯门第一纨绔,0.495,0.154,24.1,0.616,178,549369
修仙：我在云疆养仙蚕,0.486,0.108,24.2,0.693,4891,52454
修仙从磕头开始,0.512,0.214,30.5,0.697,549,146197
修仙便利店,0.43,0.206,20.8,0.482,22,4117
修仙有劫,0.455,0.181,23.2,0.633,5252,155352
修仙秘宝,0.513,0.221,46.4,0.807,2715,86554
修勾修仙：我的男友是二哈,0.623,0.02,21.4,0.699,36,17571
修真大福星,0.402,0.256,50.9,0.658,317,96695
修行不老实，师娘赶我下山举世无敌,0.45,0.408,22.4,0.622,17,153189
修魔有道,0.42,0.116,27.5,0.485,350,164605
借命风水师,0.442,0.27,25.4,0.627,23,318648
借魔成仙,0.678,0.026,39.5,0.768,26,37955
倾天一剑,0.484,0.316,28.2,0.677,12,4482
傲世潜龙,0.479,0.442,37.4,0.613,146,4208688
儒武争锋,0.509,0.208,38.4,0.756,1799,13229843
儒道：我写书成圣,0.453,0.223,42.0,0.603,23,335656
儒道帝尊,0.453,0.256,24.6,0.633,45,3732
元始剑尊,0.437,0.289,28.9,0.746,32,17942
元尊,0.5,0.142,34.5,0.771,225,859616174
元武星空,0.544,0.142,20.2,0.705,45,1574
元灵之心,0.415,0.192,34.8,0.668,196,27811
元素领域,0.441,0.387,27.9,0.684,73,26063
入殓惊魂,0.42,0.235,23.2,0.457,113,122820
全军列阵,0.539,0.112,34.6,0.666,35074,34820492
全家被流放，我八岁科举翻身,0.513,0.144,24.5,0.588,18,4477
全息猎手,0.556,0.358,27.6,0.705,489,16503
全民修武：最强暴君,0.421,0.047,19.3,0.596,47,64651
全民末日：开局获得神级天赋,0.457,0.12,31.9,0.64,157,27154
全民求生：开局一个怪物领地,0.457,0.184,24.8,0.719,60,4968
全球变异，从灾厄降临开始,0.463,0.115,37.9,0.623,78,992931
全球末世：开局觉醒吞魂天赋,0.465,0.227,22.1,0.58,14,134967
全职卡牌系统,0.684,0.0,32.1,0.639,68,131397
全职咒术师,0.487,0.161,25.6,0.654,46,29612
全能下人,0.505,0.173,37.8,0.75,61,29297
全能仙医,0.515,0.225,21.4,0.66,7085,2346493
全能巨星：天道带我上高速,0.626,0.178,29.1,0.579,12864,825554
全音阶狂潮,0.593,0.099,96.4,0.714,1454,6187803
八世巅峰,0.564,0.176,35.5,0.636,40,10073
公子世无双,0.59,0.178,39.2,0.639,50,187644
公子剑：圣女小姐不惜以身相许也要让我上山,0.535,0.283,25.6,0.704,12,2352
六道轮回塔,0.536,0.145,29.7,0.745,1201,24196
六零：饥荒年当伙夫，社员都被馋哭了,0.449,0.267,46.1,0.562,19,58995
兽人管理局,0.382,0.291,45.0,0.68,88,38779
再修仙我就死定了,0.476,0.24,23.7,0.66,70,121950
冒牌运灵师,0.5,0.236,27.7,0.576,114,36530
军工强国：开局云爆弹洗地,0.44,0.263,25.1,0.584,42,183102
冰寒武神：我能吸纳万神功法,0.439,0.378,31.8,0.635,43,83689
冰河末世：我打造神级避难所,0.482,0.156,30.6,0.542,27,94853
冲破虚空,0.553,0.122,29.9,0.647,1187,99386
决不能怂,0.495,0.092,36.8,0.655,913,116069
凡人剑仙,0.45,0.3,30.3,0.696,55,20030
凡人岂能不死,0.479,0.289,28.7,0.619,24,15173
凡人狂徒,0.404,0.126,36.1,0.757,66,37946
凡尘飞仙,0.438,0.144,20.9,0.553,129,217554
凡徒,0.563,0.07,25.5,0.688,4960,2241600
凶灵秘闻录,0.495,0.038,41.8,0.671,171,3155744
出狱即无敌，前妻跪求我原谅,0.453,0.25,19.8,0.656,341,2385
出狱既无敌，前妻要离那就离,0.482,0.282,31.9,0.557,55,1723993
出阳神,0.489,0.192,19.4,0.501,824,2067459
刀与王座,0.391,0.429,28.7,0.635,123,34459
刀起：仙岁浮与尘,0.401,0.469,21.8,0.662,29,57567
刚下山，就被五位师姐宠上天,0.462,0.245,21.1,0.514,46,994664
创世血瞳,0.454,0.0,148.1,0.946,1485,460007
初始技能也很猛,0.663,0.0,36.4,0.771,190,71032
刺客圣契,0.598,0.123,40.0,0.729,549,45114
剑，再来！,0.518,0.197,41.9,0.61,17,38053
剑仙,0.565,0.214,20.6,0.657,12,6612
剑仙在此,0.52,0.2,27.2,0.69,58531,96128175
剑仙朝,0.498,0.318,26.9,0.724,14,40265
剑仙请慢走,0.548,0.039,46.9,0.728,35,65526
剑仙饶命,0.625,0.079,28.5,0.766,149,264722
剑公子,0.413,0.274,42.4,0.57,189,4015303
剑出太平,0.461,0.119,28.1,0.645,19,6220
剑剑超神,0.504,0.156,37.6,0.655,2511,2382045
剑动仙朝,0.474,0.185,27.6,0.671,14424,622644
剑啸成歌,0.349,0.347,28.8,0.69,103,554377
剑嗜横空,0.431,0.22,50.0,0.775,646,18396
剑开仙门,0.451,0.235,25.6,0.577,19,49706
剑开太平,0.496,0.31,36.4,0.632,3373,502654
剑斩仙门,0.463,0.312,22.3,0.595,1135,110743
剑来,0.528,0.171,49.2,0.638,35568,353713654
剑来：宁姚做大，秀做小,0.421,0.224,22.3,0.628,119,55643
剑武狂尊,0.393,0.328,19.6,0.625,68,40390
剑气满乾坤,0.651,0.004,33.3,0.429,256,215888
剑气长安,0.468,0.123,28.4,0.789,244,67116
剑破九幽,0.464,0.347,22.0,0.625,45,6325
剑神老爹逼我去修炼,0.431,0.335,24.9,0.692,18,17288
剑行三千,0.431,0.387,41.7,0.601,21,13764
剑行妖土,0.536,0.283,43.3,0.676,81,25067
剑道丹尊,0.478,0.226,23.3,0.666,31,667207
剑道仙宗,0.517,0.335,36.6,0.703,101,15954
剑道圣君,0.483,0.316,30.0,0.68,870,112201
剑道极巅,0.451,0.215,23.0,0.705,22,2145
剑道第一仙,0.493,0.189,27.5,0.763,12718,111774796
剑道通神,0.52,0.116,40.3,0.749,35,9685615
剑道长生路,0.511,0.142,26.0,0.599,150,946127
剑道龙皇,0.466,0.142,35.6,0.686,45,57417
剑问九州,0.514,0.229,22.0,0.658,102,169572
剑问星辰,0.643,0.0,36.8,0.653,101,65313
剑飞,0.484,0.178,20.5,0.723,2329,388498
剑骨,0.633,0.006,33.8,0.765,3286,7898661
割鹿记,0.442,0.346,32.9,0.619,44718,5521344
功高盖主被猜忌？我转投敌营,0.5,0.255,22.9,0.668,44,804
劣根枷锁,0.46,0.289,54.0,0.663,89,142126
北宋柱国,0.484,0.343,28.3,0.512,123,147201
匠心,0.489,0.138,26.0,0.439,1010,2176227
医品龙王,0.55,0.168,21.4,0.699,6094,953785
医流武神,0.4,0.22,32.2,0.649,13068,3866045
医海沉浮,0.462,0.228,34.1,0.783,1691,37467
医海纵横,0.509,0.182,33.1,0.615,27,145453
医生的那些事儿,0.462,0.273,32.7,0.747,3064,244226
医路青云,0.567,0.131,22.7,0.743,5592,8238188
医道的江湖,0.479,0.466,30.0,0.654,53,120038
十三使徒,0.44,0.0,53.9,0.896,42,305162
十三皇子,0.442,0.194,203.8,0.635,77,239218
十代掌门,0.387,0.006,434.8,0.879,43,894830
十修,0.401,0.274,27.4,0.677,2175,70632
十国千娇,0.539,0.095,36.2,0.616,46,9124874
十天一天赋，成为吸血鬼的我太BUG了,0.483,0.08,35.7,0.703,497,1161218
十方乾坤,0.451,0.164,45.2,0.692,743,24553367
十方天帝,0.434,0.178,43.0,0.764,45,4220
半妖日记,0.482,0.171,29.0,0.735,28,18350
半生道,0.531,0.127,33.8,0.439,141,255837
华娱1981：从西游记开始,0.475,0.193,31.0,0.641,17,486590
华娱之黄金年代,0.514,0.081,31.5,0.585,30,2157337
卒舞,0.473,0.397,35.5,0.533,455,131690
卖假货的系统,0.508,0.34,18.6,0.686,86,40514
南宋大相公,0.455,0.313,25.9,0.638,75,491583
卦破九霄：我在修仙界改命逆天,0.475,0.176,16.1,0.574,69,5604
却道寻常,0.509,0.165,26.5,0.621,690,1607975
厨子很忙,0.448,0.288,30.8,0.342,33,108348
双生战记,0.459,0.203,36.4,0.964,39,8519
反派大佬的从良路,0.479,0.33,44.9,0.776,106,31711
反穿越调查局,0.449,0.568,26.5,0.571,440,1384065
发飙的人生,0.531,0.083,32.3,0.564,119,168742
古墓迷魂,0.433,0.398,26.3,0.57,38,15748
古玩情仇传,0.428,0.217,23.8,0.728,109,279101
叩王庭,0.458,0.146,29.9,0.559,71,461963
台球博士,0.485,0.1,33.9,0.647,59,25841
史上最强师父,0.383,0.2,20.6,0.733,25,1523094
史上最强邪君,0.532,0.081,38.8,0.683,137,276089
史上第一天帝,0.542,0.221,28.2,0.605,29,26181
号外,0.543,0.229,39.3,0.603,22,998
司灵图,0.532,0.371,33.2,0.663,371,28486
司马牧羊,0.555,0.062,56.0,0.562,148,16934
吃蘑菇后，我成了绝世古仙医,0.519,0.149,23.4,0.607,2687,223025
君邪天下,0.52,0.531,55.1,0.791,44,93258
吞噬九重天,0.451,0.253,18.2,0.584,1136,3669329
吞天御剑诀,0.385,0.268,23.8,0.781,16,28166
吞天混沌经：开局先吞圣女修为,0.503,0.309,36.3,0.652,104,131300
吞天道主,0.523,0.18,32.7,0.699,250,228683
吞海,0.551,0.106,30.5,0.644,83,1143925
听僵,0.493,0.176,23.5,0.602,64,151848
吸血鬼魔法师,0.401,0.291,22.9,0.665,129,26841
吾有一颗成帝心,0.431,0.208,22.9,0.725,47,12643
咖啡馆内无敌于世,0.649,0.082,28.6,0.68,2167,63914
喀什的云朵,0.6,0.239,44.2,0.628,120,41495
嗜血神医,0.65,0.174,39.0,0.499,72,64151
噬心魔种,0.456,0.093,23.6,0.548,54,12547
囚仙塔,0.481,0.284,24.5,0.742,538,19401
囚仙问道,0.427,0.308,36.2,0.599,64,5718
国医无双,0.442,0.281,23.1,0.588,11474,7652390
国民神医,0.455,0.303,22.2,0.616,12391,18292870
圣光法师的投掷砖精,0.499,0.358,37.2,0.753,82,1369187
圣尊之途,0.47,0.304,23.4,0.751,117,213448
圣师之路,0.55,0.06,25.5,0.699,105,24513
圣武星辰,0.462,0.174,33.2,0.781,2208,425761289
圣殊,0.383,0.341,19.7,0.527,2522,3178741
圣王,0.547,0.007,53.5,0.648,93,61001633
圣纹纪,0.396,0.252,24.9,0.639,77,28943
地狱基石,0.469,0.264,20.8,0.447,261,52462
地狱迷宫,0.488,0.0,32.5,0.725,32,174325
地球被撞后，我持枪纵横末世！,0.452,0.097,81.3,0.802,40,217588
地球过河卒,0.511,0.144,33.2,0.743,36,133427
基因密码,0.539,0.142,32.6,0.595,242,7356101
墨侠之大西宝藏,0.562,0.254,51.5,0.645,90,25479
墨染江山,0.39,0.308,20.6,0.623,13,42592
复仇：带着替身归来,0.505,0.255,29.2,0.707,99,6137
夜江湖,0.533,0.207,41.8,0.713,203,42721
夜烬天下,0.462,0.217,43.6,0.746,204,5912672
夜落长安,0.445,0.292,33.8,0.62,67,692066
大乾最狂驸马爷,0.498,0.267,19.9,0.546,623,2103283
大乾边关一小卒,0.495,0.157,22.4,0.515,2137,178793
大仙武,0.444,0.417,42.5,0.705,50,447849
大侠萧金衍,0.489,0.209,37.8,0.788,283,5631235
大元素使,0.614,0.075,34.8,0.432,100,295895
大华恩仇引,0.521,0.145,31.7,0.782,120,378382
大厨小婿,0.479,0.278,28.6,0.612,22127,9796524
大叔凶猛,0.478,0.178,37.5,0.546,29,1275360
大周王侯,0.493,0.219,23.7,0.56,39,1693699
大周逍遥王爷,0.461,0.181,32.5,0.627,33,80345
大唐剑尊,0.647,0.0,37.1,0.538,566,123041
大唐小兕子：小囊君，我又给你带好东西啦,0.476,0.137,20.6,0.598,11,4137
大唐小兵,0.314,0.486,19.9,0.662,15,8119
大唐山海行,0.54,0.23,52.9,0.637,549,1163082
大夏刑案官,0.518,0.304,24.7,0.556,45,50522
大宋暗卫,0.528,0.425,26.2,0.579,221,11399
大宋第一匠户,0.472,0.233,26.4,0.713,30,225093
大宋续命人,0.573,0.357,46.7,0.588,74,25773
大庆第一太子爷,0.451,0.305,19.4,0.628,46,12581
大明：家妻上将军,0.459,0.245,32.9,0.592,19,1004882
大明：寒门辅臣,0.487,0.221,30.5,0.656,3011,4386217
大明：我重生成了朱允炆,0.505,0.206,27.5,0.613,680,3377548
大明乌纱,0.488,0.269,29.7,0.503,45,247876
大明公务员,0.49,0.097,17.2,0.535,139,1211368
大明国士,0.492,0.231,22.1,0.596,24,171552
大明孤忠李定国,0.491,0.184,27.9,0.614,59,57375
大明执棋人,0.523,0.172,29.2,0.714,25,31348
大明春色,0.483,0.287,27.5,0.635,666,10963616
大明杀神,0.487,0.073,36.5,0.631,125,106042
大明测字天师,0.475,0.229,26.7,0.504,75,799937
大明烟火,0.474,0.252,29.9,0.591,154,6518503
大明第一吏,0.435,0.139,32.5,0.563,44,590242
大明第一国师,0.45,0.282,23.4,0.54,21,14156
大明第一墙头草,0.549,0.19,27.8,0.54,730,621667
大明镇抚使,0.589,0.229,37.9,0.761,29,28998
大炎不良人,0.447,0.084,46.6,0.738,240,958866
大燕斩妖人,0.457,0.202,25.9,0.594,3968,744310
大秦：寒门小娇妻,0.472,0.207,20.2,0.593,3538,177484
大荒剑帝,0.608,0.141,25.0,0.565,13318,8284203
大荒起剑人,0.569,0.126,25.2,0.588,57,41497
大虞明镜司,0.454,0.203,22.9,0.559,15,4053
大衍剑仙,0.454,0.333,20.8,0.769,69,54208
大造化剑主,0.621,0.141,36.6,0.716,2448,8216061
大道南行,0.565,0.061,32.2,0.679,110,164058
大道玄途,0.538,0.267,41.3,0.726,663,1076122
大道神主,0.451,0.221,33.5,0.775,4625,194628
大道自在行,0.431,0.301,27.8,0.604,206,83201
大道葬经,0.523,0.122,25.3,0.672,110,167143
大金乌,0.462,0.4,19.9,0.689,34,39733
大隐,0.477,0.464,27.2,0.612,586,102917
大雪满龙刀,0.549,0.122,20.6,0.658,24670,20138753
大靖执剑人,0.572,0.055,25.8,0.638,111,20305
大靖长风录,0.642,0.093,24.7,0.735,239,128457
大魏执笔人,0.625,0.0,47.2,0.752,84,273504
大魏春秋,0.508,0.115,17.4,0.766,63,76203
大魏王侯,0.585,0.024,46.3,0.836,33,1016855
大魏疯王,0.447,0.278,23.4,0.651,9,603212
大魏芳华,0.497,0.224,28.0,0.582,10322,18818757
天上白玉京,0.519,0.252,31.0,0.633,468,697903
天下神藏,0.476,0.198,27.5,0.624,68,646572
天下长宁,0.495,0.17,33.0,0.622,44000,50874914
天书进化,0.407,0.117,67.8,0.697,64,147412
天兽传说,0.678,0.0,47.5,0.849,59,82044
天刑纪,0.6,0.028,27.6,0.564,235,2085596
天劫摆渡人,0.46,0.309,28.9,0.595,536,465270
天命：从大业十二年开始,0.429,0.236,34.0,0.674,1005,1303734
天命师,0.484,0.384,34.6,0.365,128,106038
天地战记,0.405,0.227,33.5,0.742,829,417202
天地阙,0.463,0.325,22.9,0.624,141,10050
天师之巅,0.587,0.144,36.8,0.582,480,87201
天师无双,0.495,0.279,37.5,0.543,32,559394
天才神医,0.466,0.275,25.0,0.622,228,989852
天灾末日：开局囤货，我嘎嘎乱鲨,0.482,0.29,32.8,0.493,1272,53054
天狱边缘,0.533,0.104,37.7,0.883,56,58397
天盗有缺,0.465,0.123,43.3,0.742,63,25728
天眼之下,0.619,0.001,44.8,0.341,186,63714
天神下凡,0.586,0.035,38.6,0.731,257,9938999
天网,0.566,0.194,49.4,0.517,55,40479
天道天骄,0.546,0.024,38.9,0.713,617,2213606
天道新主,0.511,0.234,38.1,0.78,513,25641
天道神宗,0.614,0.096,45.1,0.684,27,25687
天问九歌,0.509,0.253,27.0,0.633,363,154071
天降鬼才,0.522,0.195,34.2,0.722,214,1546120
天霄承夏,0.54,0.187,35.4,0.749,48,8373
天骄战纪,0.553,0.11,37.4,0.741,76,28934043
天黑请点灯,0.49,0.215,19.2,0.434,4011,2605309
