title,lexical_diversity,dialogue_ratio,avg_sentence_len,sentiment,target_tickets,target_clicks
灰烬领主,0.5,0.081,33.9,0.707,10653,19897377
灵世之末,0.44,0.424,35.0,0.449,27,21995
灵异锻刀人,0.393,0.332,22.4,0.416,237,53031
灵气复苏我得天意加持,0.5,0.058,41.8,0.683,6255,199359
灵气降临时代,0.612,0.05,29.4,0.762,92,305370
灵玄共主,0.509,0.076,82.2,0.913,152,36024
灵界战雄,0.44,0.245,22.7,0.555,52,592492
灵纹之主,0.448,0.174,33.3,0.764,232,8346
灵道通宝,0.565,0.136,28.3,0.759,78,7581
炎灵幻界,0.562,0.087,30.7,0.658,28,187326
点道为止,0.457,0.317,35.0,0.75,167,410656624
炼天剑帝,0.495,0.283,22.6,0.643,65,45554
烬尘录,0.51,0.279,24.4,0.546,22,12049
焚天路,0.599,0.0,20.6,0.667,7089,1519244
焚尸五年，一出关就成了天师,0.452,0.11,24.9,0.615,76,10542000
燧源,0.466,0.186,40.3,0.745,28,9508
特战之王,0.726,0.0,17.4,0.462,24,18898648
狂傲为仙,0.631,0.043,47.7,0.58,882,71037
狂兵龙婿,0.497,0.282,30.7,0.628,29,323029
狂暴逆袭,0.421,0.266,25.3,0.604,339,5413528
独尊山海,0.482,0.005,38.6,0.681,506,59678
独步江湖,0.55,0.183,38.0,0.454,32,83891
狼人杀：演员请就位,0.402,0.341,34.4,0.528,24,115385
狼烟晚明,0.541,0.127,32.2,0.592,12,23953
狼胥,0.485,0.221,28.8,0.636,122,27112
猎场风云,0.601,0.029,35.2,0.746,2617,338494
猎天争锋,0.824,0.0,46.2,0.14,4725,13163729
猎户出山,0.867,0.0,48.0,0.929,293,2970946
猎无道,0.588,0.161,27.1,0.786,905,32533
猎魔英雄,0.455,0.436,35.9,0.733,222,839
猩红之主,0.445,0.337,24.1,0.661,21,3555
玄幻：我体内有个魔界女帝,0.384,0.21,26.7,0.725,56,29097
玄幻：诸天最强系统,0.417,0.197,18.7,0.652,13,420146
玉京天,0.528,0.073,31.4,0.667,499,179652
理想之国,0.459,0.461,26.0,0.586,56,1131675
生存技能点满，我靠摸鱼抓虾养活妻女,0.516,0.168,25.2,0.565,8,96713
生性多疑的我觉醒了选择系统,0.529,0.0,28.7,0.73,65,18177
生物骇客,0.625,0.217,27.3,0.565,41,4327367
电视世界大冒险,0.483,0.193,19.8,0.529,71,4705
男人野性,0.456,0.32,19.3,0.527,97,296042
界起通天,0.458,0.173,28.3,0.702,356,84288
疯了吧！你管这叫美丽人生？,0.465,0.174,21.1,0.711,2913,263608
登仙令,0.499,0.136,29.6,0.747,2496,319171
登天,0.45,0.305,23.6,0.685,2062,235558
白夜浮生录,0.522,0.041,25.3,0.655,109,166701
百炼成神,0.466,0.124,30.0,0.663,1100,108323
百转飞仙,0.505,0.135,35.3,0.686,148,223984
盖世,0.564,0.228,28.0,0.626,15562,52250846
盖世人王,0.609,0.115,31.5,0.637,18083,15023259
盖世神医,0.442,0.312,23.8,0.597,724,8936788
盗天战纪,0.483,0.416,26.7,0.644,228,230100
盘天之战,0.416,0.268,44.2,0.759,5755,431478
盘龙神剑,0.428,0.224,19.6,0.698,2816,218936
盛世国手,0.553,0.175,27.3,0.717,103,17497
盛世痞子,0.565,0.129,35.3,0.694,67,46212
相思一剑,0.451,0.253,40.3,0.674,43,42933
看守废丹房三年，我偷偷成仙了,0.497,0.228,22.9,0.578,116,712587
真假回忆录,0.469,0.257,25.1,0.711,20,14954
真战神,0.449,0.032,22.0,0.772,260,146038
真武剑尊,0.532,0.248,22.7,0.691,11,340
破冰,0.565,0.231,49.3,0.705,255,2969
破屋开局：我在古代娇养小甜妻,0.441,0.292,20.8,0.618,10,1247
碧海风云之谋定天下,0.609,0.002,40.4,0.793,1886,442209
碰瓷之王,0.482,0.206,27.8,0.638,7239,502657
神亡禁曲,0.422,0.152,38.5,0.732,67,79823
神医下山，美女总裁倒追我,0.45,0.345,33.2,0.49,175,44739
神医圣手,0.522,0.224,26.8,0.607,7578,1089024
神国之上,0.498,0.172,36.7,0.673,5100,7332006
神墟剑帝,0.578,0.059,45.9,0.783,25,57218
神山纪,0.776,0.0,55.7,0.93,49,60371
神座之上,0.572,0.165,44.5,0.719,48,40755
神机道士在大唐,0.531,0.166,37.8,0.581,140,150155
神洲异事录,0.57,0.052,67.5,0.852,9792,837987
神珠传,0.468,0.196,27.7,0.662,86,71405
神算赘婿,0.415,0.363,24.9,0.606,90,1030640
神级奶爸,0.518,0.242,24.7,0.519,93,14327378
神级负二代,0.497,0.295,23.9,0.582,6547,1712524
神诡世界：开局打造幽冥地府,0.523,0.165,32.6,0.722,53,158338
神霄之上,0.394,0.105,47.7,0.698,14468,2026242
神霄九宸,0.472,0.324,36.8,0.658,154,13173
神魔局,0.505,0.185,31.5,0.63,139,19703
神魔武帝,0.444,0.381,33.4,0.628,45,12429
神魔禁忌,0.435,0.179,40.9,0.67,57,20589
祥和森林,0.548,0.173,33.3,0.655,228,11116
祭炼山河,0.631,0.066,31.9,0.616,113,411543997
禁区之王,0.456,0.058,45.1,0.706,234,270479
离婚后，冰山总裁后悔了,0.485,0.371,21.7,0.664,1408,73306
离婚后，我权势滔天，你哭什么,0.416,0.446,21.9,0.589,146,282077
离婚后，高冷女总裁跪求我原谅,0.47,0.348,20.3,0.543,11174,170217
离婚后：我的身份震惊全世界,0.411,0.455,28.5,0.736,17,18255
种神战争,0.586,0.121,29.6,0.667,22,15817
秦国小坑货,0.546,0.09,29.9,0.591,38,61956
空姐背后,0.511,0.202,28.6,0.449,107,831464
空山剑雨,0.62,0.01,30.6,0.785,195,362985
穿回古代，我靠医术和推理成就医探双绝,0.486,0.318,23.3,0.485,31,434
穿成傻王爷，每天都让反派破防,0.46,0.208,25.1,0.515,26,21166
穿越不够重生来凑,0.524,0.189,32.4,0.639,122,25808
穿越武大郎之救宋,0.453,0.075,41.0,0.811,23,119359
穿越者归来，决战AI,0.441,0.144,28.1,0.617,609,9339
立刀为王,0.475,0.195,35.3,0.796,55,13615
笑傲红楼,0.489,0.272,32.4,0.688,76,2477
笑踏江湖,0.649,0.112,34.6,0.753,361,18968
符定山河,0.478,0.208,30.1,0.598,299,12411
符皇,0.596,0.047,34.4,0.683,15,12572275
第一剑仙,0.536,0.263,18.2,0.608,500,880383
第一天骄,0.451,0.283,27.3,0.643,25853,4423448
第一氏族,0.557,0.204,30.2,0.826,47,6522125
第二王座,0.534,0.043,37.0,0.736,23,8750
策命师,0.367,0.147,31.3,0.533,66,181016
精灵宝可梦现世之梦,0.469,0.122,28.2,0.735,98,170316
系统逼我做神医,0.441,0.302,21.9,0.649,27,10006
繁星书士,0.559,0.146,47.2,0.787,63,512772
红楼低调人生,0.562,0.028,15.5,0.6,55,87704
红警：心灵终结,0.401,0.008,44.2,0.753,22,77489
纨绔太子？听劝就可以变强,0.502,0.203,20.5,0.703,37,27543
纵刀长啸,0.472,0.203,41.7,0.594,340,85791
纵剑三千里,0.482,0.194,31.2,0.588,56,7831
纸黄金,0.384,0.31,29.5,0.522,22,47101
终极逐仙,0.553,0.102,38.4,0.798,95,10234
绝世剑神：君临天下,0.368,0.202,23.1,0.753,1110,2425
绝世太子爷,0.479,0.207,27.1,0.628,28,79071
绝世强者,0.44,0.221,26.3,0.558,3149,4003787
绝世替少,0.557,0.049,77.7,0.771,183,38309
绝世神医,0.511,0.176,24.5,0.778,12246,2855392
绝世龙婿,0.462,0.397,27.6,0.656,413,724470
绝代医仙在都市,0.571,0.2,28.0,0.692,1406,524441
绝命善玉师,0.5,0.252,31.3,0.645,317,29633
绝尘启缘,0.456,0.352,29.7,0.634,97,6616
绝色女总裁：离婚后我走上巅峰,0.497,0.211,23.4,0.644,445,298450
绝色生骄,0.513,0.257,24.3,0.517,35535,3820969
网游：开局刮刮乐，觉醒唯一SSS天赋,0.425,0.221,24.3,0.578,435,863150
网游：我有万倍增幅,0.459,0.137,44.5,0.606,11566,5448327
网游之剑刃舞者,0.523,0.172,133.6,0.672,43,4896963
网游之神箭修罗,0.499,0.223,55.9,0.666,103,84475
网游之霸龙战神,0.469,0.26,27.8,0.485,61,133558
网游成神，从被人踩在脚底开始,0.462,0.315,17.4,0.497,22,9284
罪城之影,0.478,0.172,30.4,0.718,86,15536
罪理谜案,0.467,0.367,36.1,0.527,172,45487
罪罚同行,0.437,0.423,25.6,0.727,432,17093
翊唐,0.592,0.006,50.5,0.947,121,206242
老实人逆袭2003,0.529,0.206,25.8,0.739,31,6144285
老朱偷听我心声，满朝文武心态崩！,0.503,0.082,24.9,0.617,202,786691
职场新贵,0.405,0.384,21.3,0.513,4631,503686
联盟：你的野区我养猪,0.505,0.079,29.7,0.727,71,11032
自在真仙,0.418,0.082,40.7,0.804,13145,140860
至圣冥君,0.512,0.175,55.7,0.692,1146,21262
至尊灵脉,0.377,0.507,22.1,0.612,92,49785
至尊邪圣,0.455,0.116,25.9,0.666,5731,458009
至武剑尊,0.54,0.183,35.2,0.726,148,63993
至隐圣仙,0.584,0.073,52.3,0.886,64,110224
舔狗反派只想苟，女主不按套路走！,0.391,0.241,21.7,0.521,353,2435143
苍穹皆一剑,0.534,0.444,19.8,0.75,61,45235
英雄联盟之起源,0.449,0.172,29.6,0.505,33,50571
荒古帝业,0.412,0.251,41.4,0.705,22,205179
荒古秘主,0.473,0.172,34.4,0.634,117,59535
荡魔,0.532,0.328,23.6,0.699,15,75721
葬仙棺,0.425,0.16,20.6,0.769,255,1115216
葬剑,0.604,0.044,45.6,0.633,21,45812
葬天刀,0.474,0.198,25.7,0.659,1129,24414
葬神棺,0.429,0.374,20.7,0.617,591,5934264
蛮横小仙,0.442,0.1,23.2,0.625,182,58535
蠢贼,0.489,0.349,40.5,0.591,30,142633
血色圣歌,0.514,0.104,30.9,0.74,1759,311645
行走江湖，我有很多工具人,0.372,0.351,29.3,0.518,72,23022
表白前任被拒绝，系统安慰我一万亿,0.439,0.23,25.4,0.714,73,9674
袋子通古今：我助倾国女帝搞基建,0.469,0.219,22.5,0.487,22,133805
被贬边疆，成就最强藩王,0.466,0.28,19.5,0.707,188,669302
裁决之主,0.509,0.096,33.3,0.604,32,103678
西游之师父你别再作妖了,0.542,0.218,29.8,0.686,57,33327
覆海惊澜,0.5,0.16,43.7,0.638,47,21350
覆血夜刀行,0.546,0.163,34.3,0.481,162,305947
警报！真龙出狱！,0.456,0.329,20.0,0.719,257,2509457
许你一剑,0.42,0.157,46.8,0.652,87,12132
诗剑飘香,0.357,0.203,23.4,0.494,2187,32664
诛邪令,0.45,0.232,43.6,0.549,142,10007
话说有座山,0.543,0.166,21.0,0.714,819,23492
诡异修仙：从废土走镖开始,0.495,0.189,20.3,0.615,33,39011
诡异游戏：开局觉醒Bug级天赋,0.48,0.223,21.6,0.546,1620,3199919
诡异降临：我为S级禁忌,0.498,0.184,25.6,0.65,44,120652
诡影邪踪,0.479,0.325,24.3,0.624,105,13417
诡秘之王,0.552,0.202,30.5,0.662,197,28687
请叫我元素师,0.489,0.173,38.6,0.531,124,31531
请叫我顶流巨星,0.45,0.16,21.0,0.694,901,1127105
诸天最强签到系统,0.408,0.328,23.1,0.575,57,65790
诸将说封侯,0.526,0.177,42.0,0.718,68,29412
读档2008,0.503,0.135,29.9,0.694,796,342711
谁说校花高冷？这校花可太甜软了,0.451,0.256,25.8,0.575,25,128393
负鼎,0.541,0.208,47.1,0.783,28,137958
财戒,0.547,0.205,30.4,0.541,178,1012610
贪天,0.583,0.226,41.1,0.713,90,60278
贴身家丁,0.657,0.109,31.2,0.486,83,3215255
赎罪事务所,0.495,0.153,33.5,0.532,60,54748
赘婿出山,0.523,0.131,32.4,0.567,22218,32106501
超凡行动,0.47,0.274,28.8,0.713,90,40676
超品赘婿,0.421,0.202,26.2,0.522,274,660935
超品风水相师,0.491,0.234,25.9,0.71,3542,454314
超弦星空,0.529,0.119,32.1,0.641,1308,492041
超源心域,0.425,0.345,27.6,0.632,58,10675
超级反套路系统,0.516,0.163,17.8,0.578,65,282904
超级大腿系统,0.48,0.176,26.6,0.652,85,193540
超级学霸系统,0.445,0.165,40.4,0.807,126,913698
超级打工者,0.492,0.12,25.1,0.583,45,19243
超级玩家,0.579,0.045,39.9,0.716,78,682304
超级龙婿,0.475,0.14,26.4,0.65,51,477141
超能：我在十一维空间轮回,0.512,0.049,32.4,0.622,440,21757
超能作者,0.521,0.22,32.9,0.798,44,192869
超能国宝,0.437,0.373,23.5,0.505,43,106459
超能星武,0.531,0.143,18.7,0.492,9498,5722448
超能逆天之路,0.347,0.328,21.8,0.552,69,613205
超自然事务管理局,0.471,0.156,30.7,0.654,89,454417
跃马大明,0.458,0.164,28.2,0.558,59,1370332
踏天争仙,0.716,0.0,50.4,0.776,72,2525363
踏星,0.576,0.099,31.3,0.758,5997,130696611
踏破太古,0.474,0.257,23.4,0.614,2571,246138
身处末世：低调不成后信手斩龙,0.457,0.179,43.2,0.653,226,144514
躺平：老婆修炼我变强,0.435,0.235,28.3,0.595,1429,3653299
轮回仙王,0.428,0.435,28.9,0.617,463,65032
轮回至仙,0.494,0.356,20.4,0.475,22,15887
轻侠挽倾,0.514,0.306,23.7,0.657,53,1878
辣手灵探,0.543,0.115,25.4,0.685,51,23592
边关兵王：从领娶罪女开始崛起,0.511,0.215,27.5,0.57,844,1411942
边军悍卒,0.503,0.116,21.0,0.514,635,4074989
边军战神,0.491,0.138,20.8,0.682,122,99724
边城诡事,0.541,0.227,41.8,0.518,947,17034
边月满西山,0.479,0.258,20.6,0.553,10789,5730613
过河卒,0.663,0.0,25.1,0.81,715,10047277
这个世界太危险,0.591,0.176,29.7,0.67,451,21014
这个世界很危险,0.423,0.157,51.1,0.621,154,4141714
这个剑仙太优秀,0.598,0.047,35.9,0.705,123,67663
这个江湖：真气要交税,0.619,0.126,25.1,0.588,6618,41020
这个魔神明明很强却过分多疑,0.471,0.229,24.2,0.731,29,5309
这样的口袋妖怪未免太凶暴了,0.552,0.196,107.6,0.726,54,30197
这软饭我吃定了,0.509,0.279,22.9,0.661,31,324932
这里有诡异,0.424,0.182,33.1,0.691,121,16448
进化降临,0.485,0.129,25.1,0.543,44,490787
迷失蔚蓝,0.484,0.141,31.1,0.561,65,525438
追星逐月,0.506,0.443,43.6,0.602,61,344697
逆世妖尊,0.472,0.235,34.3,0.743,72,4259642
逆世魔帝,0.432,0.168,37.3,0.834,451,58204
逆伐神路,0.45,0.189,18.0,0.629,151,8459
逆修斩天,0.452,0.444,20.2,0.493,894,20656
逆命相师,0.468,0.234,29.8,0.705,350,1135718
逆天宰道,0.48,0.059,34.7,0.851,821,136691
逆天火神,0.448,0.302,28.4,0.809,2904,42844
逆天邪神,0.462,0.231,38.8,0.71,36381,339979184
逆天邪神：师尊，你不太对劲,0.629,0.134,22.9,0.633,176,127013
逆天邪神之永夜魔君,0.568,0.176,22.9,0.66,61,200464
逆天邪神之深渊求生,0.475,0.1,61.7,0.844,16,328708
逆天邪神终局之战,0.574,0.186,46.0,0.887,442,3038642
逆流年代：从1970开始种田养家,0.413,0.23,28.1,0.425,1656,2632012
逍遥四公子,0.438,0.343,19.6,0.474,1173,17521535
逍遥姑爷,0.511,0.252,22.9,0.551,20,921067
逍遥神皇,0.448,0.13,36.7,0.746,128,84969
逐世启示录,0.538,0.179,44.2,0.851,114,39231
逐元,0.468,0.214,18.8,0.568,87,240066
逐鹿客,0.523,0.067,50.1,0.89,406,25888
通天鸿徒,0.523,0.074,27.6,0.745,127,76110
造化图,0.519,0.141,19.6,0.663,57,21673
造化星君,0.388,0.146,44.6,0.693,16,65589
道上青天,0.457,0.129,28.6,0.764,122,240173
道之维,0.543,0.123,52.6,0.65,112,18918
道断修罗,0.486,0.131,26.6,0.745,4337,1633964
道无心,0.625,0.054,31.1,0.635,35,281386
道易天下,0.527,0.078,31.2,0.56,163,867629
道极妖尊,0.464,0.254,26.1,0.668,3820,139945
道槃,0.619,0.11,27.2,0.744,7607,552224
道茫记,0.484,0.244,38.7,0.747,114,142043
遣返者的游戏,0.565,0.0,31.0,0.912,1018,18810972
那小厮,0.756,0.0,26.5,0.658,36,125368
邪龙归来：冰山总裁疯狂倒贴,0.502,0.329,22.2,0.672,2173,67241
都市：炼气九千层，归来已无敌,0.478,0.222,19.5,0.721,5731,23172
都市之同人大暴走,0.535,0.218,33.1,0.574,168,16131
都市之咸鱼翻身,0.406,0.514,27.2,0.594,44,72845
都市之我真的无敌,0.396,0.289,24.9,0.606,277,623330
都市之战神回归,0.49,0.429,35.4,0.661,31,393166
都市之绝品仙尊,0.503,0.211,36.9,0.593,22,5144
都市传说：远古文明的遗产,0.5,0.345,40.6,0.753,306,10072
都市修仙：从被雷劈开始,0.44,0.417,31.7,0.475,48,89578
都市全能狂医,0.476,0.449,26.7,0.59,23,1936
都市凌云志,0.47,0.162,27.4,0.692,32,55892
都市古仙医,0.443,0.189,183.0,0.565,379,34713065
都市古仙医2：大医镇世,0.489,0.245,28.8,0.501,2677,288093
都市大医仙,0.484,0.329,30.0,0.676,2806,746823
都市奇门相师,0.63,0.05,36.9,0.447,55,1456342
都市妖行记,0.411,0.514,26.4,0.534,206,19260
都市无双医圣,0.635,0.131,28.6,0.7,74,108078
都市无敌仙,0.48,0.219,21.3,0.621,30,202899
都市最后一个修真者,0.455,0.361,27.9,0.569,60,135388
都市最强医婿,0.54,0.286,32.3,0.598,46,94226
都市狂龙医仙,0.45,0.327,21.1,0.47,172,1690533
都市玄门弃少,0.467,0.374,31.9,0.525,333,382293
都市神级公子,0.437,0.255,19.9,0.701,65,29830
都市终极龙帝,0.458,0.069,33.6,0.721,92,62238
都市超级医生,0.604,0.087,43.6,0.626,172,54299574
都市超级高手,0.479,0.263,26.4,0.46,6683,42109171
都速通高武了，谁还当舔狗啊！,0.368,0.229,27.1,0.703,22,2579
酒剑四方,0.698,0.0,34.4,0.566,420,650526
酒剑风华,0.506,0.273,60.5,0.77,291,89225
醉里，剑气如霜,0.41,0.191,32.0,0.668,50,201066
重启1991,0.498,0.262,25.5,0.707,24,122629
重启修仙纪元,0.52,0.177,25.7,0.613,64,10710163
重生：拒绝当舔狗，绿茶女友她急了,0.459,0.364,23.9,0.631,22,14561
重生：神豪从追回妻女开始,0.438,0.311,28.3,0.633,24,19717
重生09：我为财富之王,0.407,0.239,43.9,0.735,4591,53650
重生1958：从窝在深山打猎开始,0.423,0.189,23.4,0.625,574,5272679
重生1958：发家致富从南锣鼓巷开始,0.493,0.0,47.5,0.629,156,927254
重生1983：从不做接盘侠开始,0.541,0.183,20.0,0.568,5803,29005
重生1984：我靠赶海打渔成首富,0.469,0.171,28.0,0.441,27,337942
重生1994：从下岗工人开始,0.547,0.163,27.1,0.563,17,162398
重生2000：从追求青涩校花同桌开始,0.463,0.262,17.3,0.666,382,7087719
重生78，开局被女知青退婚,0.532,0.231,27.8,0.672,851,6683075
重生86：人间清醒后，我成了高考状元,0.472,0.282,21.1,0.535,30,4956
重生之乘风破浪,0.483,0.249,50.2,0.555,164,104475
重生之低调大亨,0.503,0.215,32.8,0.591,120,3256052
重生之套路之王,0.478,0.25,23.3,0.68,7968,1904452
重生之我命由我,0.47,0.152,43.1,0.58,28,51925
重生之我是大老板,0.622,0.155,39.6,0.8,34,10216
重生之最强财务,0.64,0.052,39.9,0.828,579,324355
重生之绝世仙尊,0.49,0.283,19.2,0.593,37,8593
重生之芯片大亨,0.464,0.313,32.3,0.493,47,162551
重生之营销之王,0.544,0.118,31.8,0.441,3784,440462
重生于红楼末年,0.512,0.22,35.3,0.592,54,90516
重生从手术室开始,0.447,0.2,17.5,0.639,465,323244
重生从股市开始,0.47,0.206,96.8,0.634,139,880077
重生做农民,0.843,0.0,17.2,0.663,442,407453
重生农门败家子，九岁考科举养活全家,0.539,0.172,20.9,0.421,15,2021
重生印尼当财阀,0.484,0.198,28.3,0.487,93,43782
重生异世界之君临天下,0.47,0.212,42.2,0.674,69,12353
重生急诊医生：从挽救市长千金开始,0.473,0.166,27.5,0.605,359,962092
重生朱厚照，缔造巅峰大明,0.52,0.238,30.9,0.659,67,162538
重生贾环,0.506,0.145,25.9,0.601,28,668418
重装废土,0.457,0.266,32.0,0.609,56,124147
重返05：执掌风云,0.505,0.221,24.8,0.482,13,111553
重返1998,0.565,0.148,24.5,0.45,660,5892648
重返天宫当门将,0.447,0.271,24.2,0.577,14,7072
金刀侠,0.397,0.322,35.5,0.787,142,195901
金币即是正义,0.546,0.171,29.8,0.607,1000,1284743
鉴宝从文物修复开始,0.491,0.152,27.9,0.55,33,1215985
鉴宝捡漏从1988开始,0.513,0.265,29.0,0.458,31,244546
鎏金岁月：带娃渔猎长白山,0.477,0.095,29.0,0.625,223,720863
钢厂濒临破产，反手打造军工基地,0.504,0.243,33.6,0.483,16,367650
银河最强机师,0.414,0.271,31.4,0.547,18,65382
锦衣长安,0.505,0.172,40.9,0.558,90,444557
镇世决,0.601,0.024,30.9,0.69,1389,185884
镇压诸天,0.526,0.319,31.7,0.632,33,858910
镇国医神,0.509,0.276,38.6,0.664,338,703848
镜中结界,0.443,0.316,34.0,0.667,29,7527
长宁帝军,0.437,0.287,32.1,0.594,9217,260839353
长安第一大帮主,0.413,0.249,31.8,0.621,56,18855
长歌落日圆,0.45,0.398,28.0,0.661,239,30774
长河锁浪,0.407,0.368,28.3,0.476,4672,3958304
长生仙途：从听懂灵草说话开始,0.476,0.13,19.5,0.632,38,220832
长风一梦入轮回,0.431,0.25,41.8,0.627,906,17827359
门马,0.457,0.292,30.0,0.552,380,2371978
问天花,0.553,0.134,56.0,0.718,69,10422
问道红尘,0.461,0.241,31.7,0.643,77,185851
问镜,0.53,0.099,39.8,0.657,33,17830446
问鼎：从一等功臣到权力巅峰,0.437,0.183,24.2,0.548,2903,14128443
问鼎青云：从退役功臣到权力之巅,0.434,0.282,21.1,0.664,886,1179025
阎王下山,0.404,0.486,18.6,0.719,233,2583180
阳仙纪,0.447,0.285,19.9,0.625,2122,2270969
阴山咒诅,0.539,0.172,28.3,0.515,233,34786
阴影中的光,0.465,0.279,30.8,0.439,18,2617
阴秘诡事,0.507,0.286,182.3,0.504,35,23768
阴脉先生,0.561,0.124,32.2,0.542,497,1966911
阴都天子,0.489,0.253,21.9,0.53,24,11955
阴阳小神医,0.467,0.154,31.1,0.505,27,470625
阴阳石,0.586,0.086,32.8,0.646,53,1026189
阴阳视界,0.52,0.085,32.5,0.786,22,461
陆地键仙,0.476,0.233,35.8,0.744,16601,28632846
降魔之刃,0.509,0.228,19.7,0.723,3805,330863
陛下，你管这叫没落寒门？,0.544,0.254,22.8,0.616,307,221233
陛下别开挂了,0.532,0.202,25.6,0.671,74,188469
陵夭,0.474,0.207,23.6,0.565,229,132744
陵虚血途,0.435,0.203,31.8,0.731,7238,973159
隐动仙魔,0.645,0.001,29.7,0.859,251,18111
隐龙,0.523,0.269,46.9,0.646,58,12111
雨墨修仙传,0.532,0.079,26.5,0.698,98,72732
雪中悍刀行,0.603,0.025,64.7,0.659,636,122880172
雪雾王座,0.504,0.162,58.3,0.673,147,3362
雪魔刀,0.437,0.185,26.6,0.657,6648,257677
霜刃裁天,0.502,0.477,45.5,0.635,7308,414057
霜雪照曦言,0.696,0.0,25.9,0.585,154,235069
霜雪照曦言之九州化龙诀,0.429,0.305,31.9,0.543,119,3964
霸王之姿,0.428,0.33,28.7,0.764,69,34860
青龙鉴,0.464,0.133,29.8,0.776,61,40234
非洲酋长,0.592,0.1,52.8,0.698,8420,6975112
顶流男神当红不让,0.451,0.286,34.8,0.609,234,52239
顶级顽家,0.511,0.186,26.1,0.701,29,28615
风云龙婿,0.608,0.067,76.1,0.19,86,4263597
风吹春又生,0.535,0.077,88.9,0.754,277,127134
风水大相士,0.405,0.248,22.7,0.46,80,335473
风水小相士,0.481,0.228,23.5,0.525,293,724777
风水秘闻实录,0.501,0.18,20.8,0.493,124,686472
风起宁古塔,0.46,0.08,34.4,0.681,34,65750
飞升管理员,0.488,0.299,26.1,0.508,2664,74364
飞雪葬红叶,0.543,0.18,29.7,0.838,120,38292
食肉之羊,0.493,0.311,44.5,0.621,27,86702
饥荒：狩猎养家，我把娇妻宠上天！,0.485,0.159,23.6,0.681,20,4532
饮者,0.463,0.175,22.9,0.726,125,17422
香江财阀：开局收购奥迪，拿下赌王女儿,0.451,0.345,23.6,0.594,12,67822
驭兽行天下,0.434,0.341,20.6,0.547,68,25155
驭命图,0.52,0.437,31.5,0.559,15308,1376128
骑士征程,0.485,0.146,33.6,0.622,5310,12255138
骑砍之龙与领主,0.518,0.029,38.4,0.802,3018,548249
高手下山：开局迎娶绝美女总裁,0.476,0.298,23.3,0.642,25,51975
高武：开局俘获校花，我靠装杯杀疯了,0.51,0.179,23.2,0.618,2880,168605
高武：我有一个合成栏,0.387,0.304,20.6,0.678,263,985705
高武：我的体质能吞噬,0.392,0.312,25.7,0.675,16,14907
高武：我的武道天赋每周刷新,0.412,0.186,30.2,0.823,12,130955
高武校长，我的实力是全校总和！,0.439,0.297,25.2,0.65,270,511554
魔栖梧桐,0.559,0.248,32.5,0.744,73,716007
魔法世界的机械异端,0.38,0.331,23.6,0.63,58,37739
魔法丹师,0.476,0.315,26.2,0.554,32,13029
魔神乐园,0.462,0.121,21.9,0.532,29,251757
魔罗剑神,0.467,0.302,32.2,0.665,43,46620
魔道最强剑仙,0.586,0.212,35.0,0.711,224,18517
魔鬼侦查局,0.459,0.317,25.4,0.575,24,22619
鱼龙变,0.484,0.263,39.5,0.596,254,68512
鸿蒙霸体诀,0.444,0.238,26.4,0.665,2102,4302876
黄泉借皮,0.44,0.123,30.5,0.467,98,409182
黎明气象局,0.56,0.183,39.9,0.637,24,35534
黑暗之声,0.405,0.337,25.5,0.548,45,49400
黑暗圣光,0.704,0.003,17.1,0.613,406,681552
黑神话：身外化身掌握万千兵器,0.464,0.226,20.9,0.655,82,4992
黑雾之下,0.439,0.124,42.1,0.663,2064,4319942
齐天,0.465,0.291,20.6,0.595,11092,1320841
龙悦荷香,0.561,0.237,20.9,0.79,275,155588
龙武星魂,0.56,0.255,35.1,0.642,96,78629
龙血狂神,0.476,0.209,26.5,0.709,36,14136
龙象,0.464,0.167,35.6,0.632,109,1831036
龙门战神,0.512,0.146,28.5,0.716,566,260427
